@(12, 0x00800000, 0x00800000, -2.22838e-05, 0.0)
@(12, 0x00001000, 0x00000100, -3.70154e-05, 0.0)
@(12, 0x00002000, 0x00000200, -1.47959e-05, 0.0)
@(12, 0x00004000, 0x00000400, -1.73766e-05, 0.0)
@(12, 0x00008000, 0x00000800, -6.9011e-06, 0.0)
@(12, 0x00000100, 0x00001000, -7.450580597e-07, 0.0)
@(12, 0x00000200, 0x00002000, 1.33207e-05, 0.0)
@(12, 0x00000400, 0x00004000, 2.05841e-05, 0.0)
@(12, 0x00000800, 0x00008000, -8.549541235e-07, 0.0)
@(12, 0x00000010, 0x00000010, 2.59383e-05, 0.0)
@(12, 0x00000020, 0x00000020, 7.0212e-06, 0.0)
@(12, 0x00000040, 0x00000040, -5.9372e-06, 0.0)
@(12, 0x00000080, 0x00000080, -2.22838e-05, 0.0)
@(13, 0x10000000, 0x01000000, 3.2382e-06, 0.0)
@(13, 0x20000000, 0x02000000, 1.06264e-05, 0.0)
@(13, 0x40000000, 0x04000000, 4.9146e-06, 0.0)
@(13, 0x80000000, 0x08000000, 1.39587e-05, 0.0)
@(13, 0x01000000, 0x10000000, 5.485489964e-07, 0.0)
@(13, 0x02000000, 0x20000000, -1.95485e-05, 0.0)
@(13, 0x04000000, 0x40000000, 6.4187e-06, 0.0)
@(13, 0x08000000, 0x80000000, -7.7104e-06, 0.0)
@(13, 0x00100000, 0x00100000, -2.79639e-05, 0.0)
@(13, 0x00200000, 0x00200000, -6.2864e-06, 0.0)
@(13, 0x00400000, 0x00400000, -5.5544e-06, 0.0)
@(13, 0x00800000, 0x00800000, 1.37333e-05, 0.0)
@(13, 0x00001000, 0x00000100, 3.2382e-06, 0.0)
@(13, 0x00002000, 0x00000200, 1.06264e-05, 0.0)
@(13, 0x00004000, 0x00000400, 4.9146e-06, 0.0)
@(13, 0x00008000, 0x00000800, 1.39587e-05, 0.0)
@(13, 0x00000100, 0x00001000, 5.485489964e-07, 0.0)
@(13, 0x00000200, 0x00002000, -1.95485e-05, 0.0)
@(13, 0x00000400, 0x00004000, 6.4187e-06, 0.0)
@(13, 0x00000800, 0x00008000, -7.7104e-06, 0.0)
@(13, 0x00000010, 0x00000010, -2.79639e-05, 0.0)
@(13, 0x00000020, 0x00000020, -6.2864e-06, 0.0)
@(13, 0x00000040, 0x00000040, -5.5544e-06, 0.0)
@(13, 0x00000080, 0x00000080, 1.37333e-05, 0.0)
@(14, 0x10000000, 0x01000000, 1.02073e-05, 0.0)
@(14, 0x20000000, 0x02000000, 1.06283e-05, 0.0)
@(14, 0x40000000, 0x04000000, -9.9121e-06, 0.0)
@(14, 0x80000000, 0x08000000, -2.34665e-05, 0.0)
@(14, 0x01000000, 0x10000000, 1.38283e-05, 0.0)
@(14, 0x02000000, 0x20000000, -1.37063e-05, 0.0)
@(14, 0x04000000, 0x40000000, -4.18406e-05, 0.0)
@(14, 0x08000000, 0x80000000, 5.0068e-06, 0.0)
@(14, 0x00100000, 0x00100000, -4.5421e-06, 0.0)
@(14, 0x00200000, 0x00200000, 6.7987e-06, 0.0)
@(14, 0x00400000, 0x00400000, 7.77e-06, 0.0)
@(14, 0x00800000, 0x00800000, -1.30348e-05, 0.0)
@(14, 0x00001000, 0x00000100, 1.02073e-05, 0.0)
@(14, 0x00002000, 0x00000200, 1.06283e-05, 0.0)
@(14, 0x00004000, 0x00000400, -9.9121e-06, 0.0)
@(14, 0x00008000, 0x00000800, -2.34665e-05, 0.0)
@(14, 0x00000100, 0x00001000, 1.38283e-05, 0.0)
@(14, 0x00000200, 0x00002000, -1.37063e-05, 0.0)
@(14, 0x00000400, 0x00004000, -4.18406e-05, 0.0)
@(14, 0x00000800, 0x00008000, 5.0068e-06, 0.0)
@(14, 0x00000010, 0x00000010, -4.5421e-06, 0.0)
@(14, 0x00000020, 0x00000020, 6.7987e-06, 0.0)
@(14, 0x00000040, 0x00000040, 7.77e-06, 0.0)
@(14, 0x00000080, 0x00000080, -1.30348e-05, 0.0)
@(15, 0x10000000, 0x01000000, -7.7104e-06, 0.0)
@(15, 0x20000000, 0x02000000, -1.17496e-05, 0.0)
@(15, 0x40000000, 0x04000000, -2.7847e-06, 0.0)
@(15, 0x80000000, 0x08000000, 4.4312e-06, 0.0)
@(15, 0x01000000, 0x10000000, -8.7563e-06, 0.0)
@(15, 0x02000000, 0x20000000, 6.7716e-06, 0.0)
@(15, 0x04000000, 0x40000000, -2.929e-06, 0.0)
@(15, 0x08000000, 0x80000000, -3.23718e-05, 0.0)
@(15, 0x00100000, 0x00100000, 1.26064e-05, 0.0)
@(15, 0x00200000, 0x00200000, 2.0936e-06, 0.0)
@(15, 0x00400000, 0x00400000, 2.50842e-05, 0.0)
@(15, 0x00800000, 0x00800000, -7.9582e-06, 0.0)
@(15, 0x00001000, 0x00000100, -7.7104e-06, 0.0)
@(15, 0x00002000, 0x00000200, -1.17496e-05, 0.0)
@(15, 0x00004000, 0x00000400, -2.7847e-06, 0.0)
@(15, 0x00008000, 0x00000800, 4.4312e-06, 0.0)
@(15, 0x00000100, 0x00001000, -8.7563e-06, 0.0)
@(15, 0x00000200, 0x00002000, 6.7716e-06, 0.0)
@(15, 0x00000400, 0x00004000, -2.929e-06, 0.0)
@(15, 0x00000800, 0x00008000, -3.23718e-05, 0.0)
@(15, 0x00000010, 0x00000010, 1.26064e-05, 0.0)
@(15, 0x00000020, 0x00000020, 2.0936e-06, 0.0)
@(15, 0x00000040, 0x00000040, 2.50842e-05, 0.0)
@(15, 0x00000080, 0x00000080, -7.9582e-06, 0.0)
@(16, 0x10000000, 0x01000000, -2.1765e-06, 0.0)
@(16, 0x20000000, 0x02000000, -3.133e-06, 0.0)
@(16, 0x40000000, 0x04000000, 1.06432e-05, 0.0)
@(16, 0x80000000, 0x08000000, -7.7505e-06, 0.0)
@(16, 0x01000000, 0x10000000, -2.4289e-06, 0.0)
@(16, 0x02000000, 0x20000000, -1.24928e-05, 0.0)
@(16, 0x04000000, 0x40000000, -1.79969e-05, 0.0)
@(16, 0x08000000, 0x80000000, 1.6494e-06, 0.0)
@(16, 0x00100000, 0x00100000, 3.2745e-06, 0.0)
@(16, 0x00200000, 0x00200000, 6.089e-06, 0.0)
@(16, 0x00400000, 0x00400000, 2.37357e-05, 0.0)
@(16, 0x00800000, 0x00800000, 8.8066e-06, 0.0)
@(16, 0x00001000, 0x00000100, -2.1765e-06, 0.0)
@(16, 0x00002000, 0x00000200, -3.133e-06, 0.0)
@(16, 0x00004000, 0x00000400, 1.06432e-05, 0.0)
@(16, 0x00008000, 0x00000800, -7.7505e-06, 0.0)
@(16, 0x00000100, 0x00001000, -2.4289e-06, 0.0)
@(16, 0x00000200, 0x00002000, -1.24928e-05, 0.0)
@(16, 0x00000400, 0x00004000, -1.79969e-05, 0.0)
@(16, 0x00000800, 0x00008000, 1.6494e-06, 0.0)
@(16, 0x00000010, 0x00000010, 3.2745e-06, 0.0)
@(16, 0x00000020, 0x00000020, 6.089e-06, 0.0)
@(16, 0x00000040, 0x00000040, 2.37357e-05, 0.0)
@(16, 0x00000080, 0x00000080, 8.8066e-06, 0.0)
@(17, 0x10000000, 0x01000000, -9.1754e-06, 0.0)
@(17, 0x20000000, 0x02000000, -3.5642e-06, 0.0)
@(17, 0x40000000, 0x04000000, -6.5556e-06, 0.0)
@(17, 0x80000000, 0x08000000, 2.38735e-05, 0.0)
@(17, 0x01000000, 0x10000000, 6.4261e-06, 0.0)
@(17, 0x02000000, 0x20000000, 4.5337e-06, 0.0)
@(17, 0x04000000, 0x40000000, 1.39121e-05, 0.0)
@(17, 0x08000000, 0x80000000, -5.373731256e-07, 0.0)
@(17, 0x00100000, 0x00100000, 1.15382e-05, 0.0)
@(17, 0x00200000, 0x00200000, -1.78032e-05, 0.0)
@(17, 0x00400000, 0x00400000, -8.0932e-06, 0.0)
@(17, 0x00800000, 0x00800000, -2.26395e-05, 0.0)
@(17, 0x00001000, 0x00000100, -9.1754e-06, 0.0)
@(17, 0x00002000, 0x00000200, -3.5642e-06, 0.0)
@(17, 0x00004000, 0x00000400, -6.5556e-06, 0.0)
@(17, 0x00008000, 0x00000800, 2.38735e-05, 0.0)
@(17, 0x00000100, 0x00001000, 6.4261e-06, 0.0)
@(17, 0x00000200, 0x00002000, 4.5337e-06, 0.0)
@(17, 0x00000400, 0x00004000, 1.39121e-05, 0.0)
@(17, 0x00000800, 0x00008000, -5.373731256e-07, 0.0)
